<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	00:00:00	2624.81	2634.42	2621.57	2632.99	16434	0	15
2025.01.02	04:00:00	2632.99	2636.49	2631.06	2634.05	29644	0	15
2025.01.02	08:00:00	2634.12	2639.92	2631.03	2636.08	29942	0	15
2025.01.02	12:00:00	2636.06	2647.27	2632.72	2643.03	43596	0	15
2025.01.02	16:00:00	2642.92	2660.42	2640.33	2656.51	67300	0	15
2025.01.02	20:00:00	2656.52	2660.43	2653.72	2657.39	26757	0	15
2025.01.03	00:00:00	2657.39	2662.48	2656.63	2659.36	9837	0	15
2025.01.03	04:00:00	2659.31	2665.22	2655.62	2658.48	19132	0	15
2025.01.03	08:00:00	2658.50	2660.32	2649.85	2653.60	27324	0	15
2025.01.03	12:00:00	2653.58	2659.28	2643.46	2649.94	28825	0	15
2025.01.03	16:00:00	2649.94	2652.68	2639.02	2641.77	54671	0	15
2025.01.03	20:00:00	2641.80	2642.94	2636.47	2639.01	18445	0	15
2025.01.06	00:00:00	2641.15	2647.38	2638.58	2641.26	17919	0	15
2025.01.06	04:00:00	2641.27	2645.33	2631.45	2633.82	28551	0	15
2025.01.06	08:00:00	2633.82	2635.76	2625.09	2632.67	28677	0	15
2025.01.06	12:00:00	2632.67	2649.52	2621.92	2624.15	55913	0	15
2025.01.06	16:00:00	2624.16	2641.25	2614.49	2636.66	74958	0	15
2025.01.06	20:00:00	2636.68	2638.63	2632.88	2635.67	25023	0	15
2025.01.07	00:00:00	2635.98	2641.13	2632.94	2638.97	15813	0	15
2025.01.07	04:00:00	2638.97	2645.55	2636.95	2644.35	22218	0	15
2025.01.07	08:00:00	2644.34	2646.72	2637.96	2641.41	27828	0	15
2025.01.07	12:00:00	2641.37	2663.82	2641.27	2661.90	40490	0	15
2025.01.07	16:00:00	2661.94	2663.00	2642.12	2652.49	71333	0	15
2025.01.07	20:00:00	2652.51	2652.59	2647.00	2648.74	32001	0	15
2025.01.08	00:00:00	2648.45	2651.54	2647.19	2648.82	14301	0	15
2025.01.08	04:00:00	2648.80	2650.72	2645.19	2650.04	21985	0	15
2025.01.08	08:00:00	2650.04	2655.79	2648.82	2654.20	29324	0	15
2025.01.08	12:00:00	2654.16	2660.44	2645.88	2660.27	41696	0	15
2025.01.08	16:00:00	2660.24	2670.11	2649.41	2655.61	63074	0	15
2025.01.08	20:00:00	2655.58	2664.02	2650.92	2661.46	28032	0	15
2025.01.09	00:00:00	2661.41	2663.12	2657.81	2658.95	10406	0	15
2025.01.09	04:00:00	2658.96	2662.69	2656.02	2658.89	19607	0	15
2025.01.09	08:00:00	2658.88	2667.45	2658.88	2665.55	28471	0	15
2025.01.09	12:00:00	2665.56	2678.88	2664.96	2673.32	35852	0	15
2025.01.09	16:00:00	2673.32	2676.32	2663.27	2666.58	38883	0	15
2025.01.09	20:00:00	2666.58	2673.09	2665.73	2670.87	18066	0	15
2025.01.10	00:00:00	2670.07	2672.56	2669.00	2671.69	13034	0	15
2025.01.10	04:00:00	2671.69	2676.49	2671.09	2675.54	18004	0	15
2025.01.10	08:00:00	2675.54	2682.90	2674.06	2679.20	32131	0	15
2025.01.10	12:00:00	2679.21	2684.40	2664.37	2683.44	50213	0	15
2025.01.10	16:00:00	2683.38	2697.78	2681.48	2695.97	91169	0	15
2025.01.10	20:00:00	2695.97	2697.11	2684.45	2689.22	30075	0	15
2025.01.13	00:00:00	2687.91	2693.16	2678.74	2685.59	25542	0	15
2025.01.13	04:00:00	2685.60	2690.81	2683.28	2686.93	31383	0	15
2025.01.13	08:00:00	2687.02	2691.30	2683.14	2684.80	43685	0	15
2025.01.13	12:00:00	2684.79	2685.01	2663.85	2669.12	57120	0	15
2025.01.13	16:00:00	2669.16	2674.20	2659.32	2660.93	69079	0	15
2025.01.13	20:00:00	2660.89	2664.18	2656.81	2663.67	23109	0	15
2025.01.14	00:00:00	2662.92	2672.87	2662.92	2671.48	19756	0	15
2025.01.14	04:00:00	2671.47	2674.67	2667.41	2669.13	29841	0	15
2025.01.14	08:00:00	2669.23	2675.06	2664.74	2667.35	39291	0	15
2025.01.14	12:00:00	2667.37	2674.31	2660.83	2662.92	47977	0	15
2025.01.14	16:00:00	2662.92	2674.00	2659.84	2669.04	70740	0	15
2025.01.14	20:00:00	2669.07	2678.12	2666.70	2676.80	28585	0	15
2025.01.15	00:00:00	2677.84	2677.91	2670.30	2670.43	9968	0	15
2025.01.15	04:00:00	2670.46	2679.80	2669.87	2679.78	25245	0	15
2025.01.15	08:00:00	2679.75	2689.16	2679.57	2686.52	37805	0	15
2025.01.15	12:00:00	2686.59	2694.10	2682.12	2693.67	57426	0	15
2025.01.15	16:00:00	2693.68	2696.03	2676.65	2692.63	78618	0	15
2025.01.15	20:00:00	2692.63	2697.30	2690.98	2696.26	24627	0	15
2025.01.16	00:00:00	2692.10	2702.59	2691.40	2696.58	22354	0	15
2025.01.16	04:00:00	2696.58	2698.80	2693.49	2694.13	24332	0	15
2025.01.16	08:00:00	2694.13	2706.78	2689.30	2705.94	43099	0	15
2025.01.16	12:00:00	2705.97	2718.21	2700.87	2715.43	52724	0	15
2025.01.16	16:00:00	2715.47	2724.73	2712.51	2721.75	73486	0	15
2025.01.16	20:00:00	2721.74	2723.32	2712.25	2714.38	27576	0	15
2025.01.17	00:00:00	2714.14	2716.59	2710.35	2714.12	19149	0	15
2025.01.17	04:00:00	2714.24	2716.97	2711.62	2712.02	22952	0	15
2025.01.17	08:00:00	2712.02	2713.91	2703.34	2704.29	33222	0	15
2025.01.17	12:00:00	2704.24	2712.18	2702.29	2705.09	47239	0	15
2025.01.17	16:00:00	2705.07	2717.30	2702.67	2712.58	67594	0	15
2025.01.17	20:00:00	2712.57	2713.31	2699.14	2702.52	29472	0	15
2025.01.20	00:00:00	2702.51	2703.00	2689.22	2694.37	22691	0	15
2025.01.20	04:00:00	2694.43	2708.08	2694.17	2706.55	31151	0	15
2025.01.20	08:00:00	2706.58	2713.13	2702.79	2706.78	32515	0	15
2025.01.20	12:00:00	2706.76	2713.08	2701.54	2705.08	47262	0	15
2025.01.20	16:00:00	2705.11	2712.10	2703.32	2707.43	46343	0	15
2025.01.20	20:00:00	2707.43	2711.31	2705.18	2709.70	2746	0	15
2025.01.21	00:00:00	2706.98	2718.66	2702.12	2717.38	29149	0	15
2025.01.21	04:00:00	2717.38	2728.51	2717.28	2725.49	41835	0	15
2025.01.21	08:00:00	2725.52	2732.08	2717.89	2721.49	47887	0	15
2025.01.21	12:00:00	2721.49	2730.30	2716.70	2726.55	51385	0	15
2025.01.21	16:00:00	2726.55	2746.03	2725.54	2740.60	68214	0	15
2025.01.21	20:00:00	2740.58	2746.27	2740.27	2744.92	25305	0	15
2025.01.22	00:00:00	2744.95	2749.92	2741.64	2748.17	19265	0	15
2025.01.22	04:00:00	2748.11	2758.63	2746.24	2758.00	27914	0	15
2025.01.22	08:00:00	2758.00	2762.28	2745.56	2758.45	44311	0	15
2025.01.22	12:00:00	2758.46	2763.29	2751.02	2757.71	40770	0	15
2025.01.22	16:00:00	2757.71	2760.29	2750.28	2756.57	61476	0	15
2025.01.22	20:00:00	2756.57	2759.38	2754.81	2756.02	23256	0	15
2025.01.23	00:00:00	2755.80	2756.31	2750.59	2752.64	13503	0	15
2025.01.23	04:00:00	2752.64	2754.90	2749.49	2752.15	27104	0	15
2025.01.23	08:00:00	2752.15	2755.53	2740.93	2745.91	38844	0	15
2025.01.23	12:00:00	2745.89	2754.44	2735.86	2741.59	58576	0	15
2025.01.23	16:00:00	2741.62	2758.77	2740.34	2757.73	69408	0	15
2025.01.23	20:00:00	2757.78	2758.23	2751.38	2754.28	31098	0	15
