<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.02	01:00:00	2624.81	2625.07	2624.25	2625.00	124	0	43
2025.01.02	01:05:00	2625.02	2625.63	2624.35	2624.97	173	0	44
2025.01.02	01:10:00	2625.06	2625.15	2624.19	2624.65	163	0	49
2025.01.02	01:15:00	2624.67	2625.01	2624.09	2624.19	135	0	22
2025.01.02	01:20:00	2624.20	2624.20	2623.35	2623.59	187	0	29
2025.01.02	01:25:00	2623.58	2623.95	2623.40	2623.60	132	0	43
2025.01.02	01:30:00	2623.62	2623.85	2623.09	2623.13	157	0	29
2025.01.02	01:35:00	2623.17	2623.63	2622.75	2622.85	139	0	19
2025.01.02	01:40:00	2622.85	2622.86	2622.06	2622.10	171	0	15
2025.01.02	01:45:00	2621.80	2623.18	2621.57	2622.98	154	0	30
2025.01.02	01:50:00	2623.00	2624.03	2622.97	2623.78	136	0	40
2025.01.02	01:55:00	2623.77	2624.36	2623.44	2623.66	124	0	20
2025.01.02	02:00:00	2623.66	2624.01	2622.69	2622.95	283	0	21
2025.01.02	02:05:00	2622.96	2625.42	2622.87	2625.25	155	0	35
2025.01.02	02:10:00	2625.26	2626.19	2625.09	2625.70	249	0	18
2025.01.02	02:15:00	2625.70	2625.76	2625.14	2625.66	253	0	22
2025.01.02	02:20:00	2625.66	2626.46	2625.55	2626.10	210	0	24
2025.01.02	02:25:00	2626.12	2626.49	2625.70	2626.32	154	0	23
2025.01.02	02:30:00	2626.35	2626.42	2625.41	2625.72	216	0	29
2025.01.02	02:35:00	2625.69	2626.51	2625.65	2626.33	147	0	22
2025.01.02	02:40:00	2626.42	2627.52	2626.06	2626.94	225	0	21
2025.01.02	02:45:00	2626.95	2627.90	2626.72	2626.72	283	0	22
2025.01.02	02:50:00	2626.80	2627.39	2626.48	2626.65	270	0	32
2025.01.02	02:55:00	2626.68	2626.86	2625.35	2625.41	434	0	19
2025.01.02	03:00:00	2625.44	2627.20	2623.77	2627.13	1581	0	25
2025.01.02	03:05:00	2627.22	2630.39	2627.10	2629.54	1309	0	16
2025.01.02	03:10:00	2629.50	2630.82	2629.44	2629.55	853	0	29
2025.01.02	03:15:00	2629.42	2631.97	2629.34	2631.36	1062	0	21
2025.01.02	03:20:00	2631.38	2631.69	2629.80	2631.41	918	0	33
2025.01.02	03:25:00	2631.41	2632.93	2630.36	2632.56	832	0	18
2025.01.02	03:30:00	2632.51	2634.25	2632.51	2634.05	915	0	15
2025.01.02	03:35:00	2634.09	2634.42	2632.55	2633.17	789	0	15
2025.01.02	03:40:00	2633.28	2633.94	2632.39	2633.49	545	0	18
2025.01.02	03:45:00	2633.49	2633.52	2631.75	2632.23	1135	0	15
2025.01.02	03:50:00	2632.23	2632.88	2631.61	2632.51	1004	0	16
2025.01.02	03:55:00	2632.53	2633.38	2632.12	2632.99	817	0	19
2025.01.02	04:00:00	2632.99	2634.80	2632.56	2633.63	904	0	18
2025.01.02	04:05:00	2633.65	2634.55	2633.26	2634.22	1023	0	20
2025.01.02	04:10:00	2634.28	2634.79	2633.42	2634.58	747	0	24
2025.01.02	04:15:00	2634.56	2634.63	2633.88	2634.26	472	0	22
2025.01.02	04:20:00	2634.26	2636.49	2634.05	2635.72	397	0	15
2025.01.02	04:25:00	2635.72	2635.81	2634.67	2635.57	361	0	23
2025.01.02	04:30:00	2635.57	2635.57	2634.05	2635.23	1209	0	15
2025.01.02	04:35:00	2635.23	2635.77	2634.07	2635.34	771	0	15
2025.01.02	04:40:00	2635.33	2635.42	2632.67	2633.47	1193	0	15
2025.01.02	04:45:00	2633.45	2633.63	2632.29	2632.93	1325	0	15
2025.01.02	04:50:00	2632.93	2634.42	2632.60	2634.02	905	0	16
2025.01.02	04:55:00	2634.03	2635.34	2633.79	2634.74	781	0	15
2025.01.02	05:00:00	2634.68	2635.36	2633.86	2634.12	819	0	17
2025.01.02	05:05:00	2634.12	2634.26	2633.50	2633.81	864	0	26
2025.01.02	05:10:00	2633.80	2633.85	2633.07	2633.10	999	0	26
2025.01.02	05:15:00	2633.07	2634.08	2632.94	2633.51	934	0	27
2025.01.02	05:20:00	2633.45	2634.76	2633.05	2634.19	848	0	31
2025.01.02	05:25:00	2634.22	2634.33	2633.26	2633.41	1001	0	22
2025.01.02	05:30:00	2633.38	2634.23	2633.08	2633.87	784	0	22
2025.01.02	05:35:00	2633.86	2633.90	2632.31	2632.35	870	0	30
2025.01.02	05:40:00	2632.37	2633.48	2632.22	2633.37	486	0	20
2025.01.02	05:45:00	2633.37	2633.80	2633.07	2633.28	218	0	15
2025.01.02	05:50:00	2633.26	2633.27	2632.70	2632.75	446	0	29
2025.01.02	05:55:00	2632.76	2633.64	2632.65	2633.57	246	0	32
2025.01.02	06:00:00	2633.58	2633.63	2632.33	2633.05	321	0	15
2025.01.02	06:05:00	2633.05	2633.05	2632.13	2632.74	223	0	15
2025.01.02	06:10:00	2632.74	2633.22	2632.30	2632.34	209	0	15
2025.01.02	06:15:00	2632.28	2632.97	2632.26	2632.50	153	0	21
2025.01.02	06:20:00	2632.45	2632.96	2632.05	2632.53	245	0	17
2025.01.02	06:25:00	2632.53	2633.17	2632.31	2632.39	385	0	16
2025.01.02	06:30:00	2632.37	2632.83	2632.07	2632.38	405	0	17
2025.01.02	06:35:00	2632.50	2632.68	2632.05	2632.18	225	0	24
2025.01.02	06:40:00	2632.18	2632.49	2631.97	2632.20	155	0	15
2025.01.02	06:45:00	2632.20	2632.78	2631.06	2632.58	673	0	16
2025.01.02	06:50:00	2632.56	2633.89	2632.55	2633.84	346	0	17
2025.01.02	06:55:00	2633.85	2634.22	2633.60	2633.98	603	0	15
2025.01.02	07:00:00	2634.01	2634.34	2633.24	2633.27	505	0	15
2025.01.02	07:05:00	2633.17	2633.68	2633.10	2633.45	277	0	25
2025.01.02	07:10:00	2633.45	2634.03	2633.15	2633.35	474	0	19
2025.01.02	07:15:00	2633.35	2634.27	2633.33	2634.23	493	0	22
2025.01.02	07:20:00	2634.23	2634.28	2633.64	2634.19	476	0	23
2025.01.02	07:25:00	2634.22	2635.33	2634.18	2634.90	577	0	15
2025.01.02	07:30:00	2634.89	2635.83	2634.53	2635.39	1233	0	15
2025.01.02	07:35:00	2635.47	2636.09	2635.00	2635.64	618	0	15
2025.01.02	07:40:00	2635.63	2636.43	2634.87	2634.96	489	0	20
2025.01.02	07:45:00	2634.96	2635.02	2634.08	2635.02	804	0	15
2025.01.02	07:50:00	2635.06	2635.29	2634.37	2634.39	401	0	16
2025.01.02	07:55:00	2634.41	2634.48	2633.96	2634.05	751	0	20
2025.01.02	08:00:00	2634.12	2634.12	2631.89	2632.61	698	0	16
2025.01.02	08:05:00	2632.53	2632.82	2631.74	2632.42	573	0	15
2025.01.02	08:10:00	2632.47	2632.89	2631.53	2631.76	463	0	15
2025.01.02	08:15:00	2631.75	2632.29	2631.26	2632.19	675	0	27
2025.01.02	08:20:00	2632.11	2633.17	2631.99	2632.98	539	0	28
2025.01.02	08:25:00	2633.08	2634.43	2632.97	2634.26	397	0	24
2025.01.02	08:30:00	2634.25	2634.47	2633.62	2633.74	345	0	22
2025.01.02	08:35:00	2633.74	2633.96	2633.43	2633.88	323	0	17
2025.01.02	08:40:00	2633.91	2634.59	2633.73	2634.05	594	0	28
2025.01.02	08:45:00	2634.07	2635.37	2633.62	2633.68	591	0	15
2025.01.02	08:50:00	2633.68	2634.50	2633.54	2634.08	429	0	20
2025.01.02	08:55:00	2634.07	2634.73	2633.86	2634.14	860	0	18
2025.01.02	09:00:00	2634.13	2634.30	2633.55	2634.28	1005	0	16
2025.01.02	09:05:00	2634.29	2635.05	2634.13	2634.33	895	0	15
2025.01.02	09:10:00	2634.31	2634.88	2634.22	2634.32	426	0	18
2025.01.02	09:15:00	2634.33	2634.91	2633.46	2634.82	517	0	22
2025.01.02	09:20:00	2634.86	2635.43	2634.33	2635.43	638	0	23
2025.01.02	09:25:00	2635.43	2635.91	2634.30	2634.31	714	0	23
2025.01.02	09:30:00	2634.34	2634.38	2633.03	2633.29	740	0	20
2025.01.02	09:35:00	2633.27	2634.18	2633.03	2633.48	801	0	21
2025.01.02	09:40:00	2633.20	2634.08	2633.04	2633.66	204	0	15
2025.01.02	09:45:00	2633.66	2633.69	2633.02	2633.53	315	0	27
2025.01.02	09:50:00	2633.53	2634.75	2633.32	2634.63	434	0	25
2025.01.02	09:55:00	2634.61	2635.99	2634.34	2635.98	500	0	30
2025.01.02	10:00:00	2636.02	2636.45	2635.05	2635.96	1089	0	21
2025.01.02	10:05:00	2636.06	2637.02	2635.23	2635.27	990	0	22
2025.01.02	10:10:00	2635.25	2635.48	2633.94	2635.15	545	0	15
2025.01.02	10:15:00	2635.12	2635.20	2633.58	2634.50	534	0	17
2025.01.02	10:20:00	2634.48	2634.60	2632.65	2632.75	630	0	26
2025.01.02	10:25:00	2632.73	2633.31	2631.32	2633.30	695	0	15
2025.01.02	10:30:00	2633.30	2633.84	2631.03	2633.74	551	0	22
2025.01.02	10:35:00	2633.74	2634.29	2633.33	2633.95	476	0	22
2025.01.02	10:40:00	2633.93	2636.87	2633.59	2636.18	543	0	15
2025.01.02	10:45:00	2636.18	2637.75	2635.67	2635.90	570	0	15
2025.01.02	10:50:00	2635.86	2636.61	2635.35	2635.69	515	0	19
2025.01.02	10:55:00	2635.69	2637.14	2635.58	2636.48	533	0	15
2025.01.02	11:00:00	2636.47	2639.91	2636.47	2638.50	1325	0	15
2025.01.02	11:05:00	2638.50	2639.43	2638.09	2638.23	580	0	15
2025.01.02	11:10:00	2638.31	2639.17	2637.26	2638.25	543	0	15
2025.01.02	11:15:00	2638.26	2638.66	2637.72	2638.17	463	0	15
2025.01.02	11:20:00	2638.18	2638.36	2637.20	2637.39	816	0	22
2025.01.02	11:25:00	2637.37	2639.92	2637.37	2637.48	687	0	15
2025.01.02	11:30:00	2637.49	2638.39	2637.13	2637.93	647	0	17
2025.01.02	11:35:00	2637.93	2637.93	2636.68	2636.89	575	0	33
2025.01.02	11:40:00	2636.88	2637.72	2636.77	2637.13	672	0	22
2025.01.02	11:45:00	2637.14	2637.99	2636.59	2637.38	745	0	15
2025.01.02	11:50:00	2637.42	2637.67	2636.36	2636.83	805	0	17
2025.01.02	11:55:00	2636.84	2637.38	2635.99	2636.08	737	0	24
2025.01.02	12:00:00	2636.06	2636.14	2633.61	2633.73	914	0	15
2025.01.02	12:05:00	2633.72	2635.56	2632.72	2635.56	704	0	15
2025.01.02	12:10:00	2635.46	2638.91	2635.36	2638.86	615	0	15
2025.01.02	12:15:00	2638.86	2643.90	2638.11	2643.37	718	0	15
2025.01.02	12:20:00	2643.29	2646.33	2642.80	2645.47	1386	0	15
2025.01.02	12:25:00	2645.47	2646.19	2644.43	2644.87	862	0	15
2025.01.02	12:30:00	2644.77	2645.51	2643.14	2643.93	983	0	20
2025.01.02	12:35:00	2643.92	2645.71	2643.11	2644.40	976	0	16
2025.01.02	12:40:00	2644.41	2645.27	2643.60	2643.95	647	0	15
2025.01.02	12:45:00	2643.95	2644.12	2642.25	2642.83	756	0	15
2025.01.02	12:50:00	2642.83	2643.72	2640.43	2642.63	1039	0	15
2025.01.02	12:55:00	2642.64	2642.95	2641.77	2642.71	807	0	21
2025.01.02	13:00:00	2642.70	2643.57	2642.38	2643.13	468	0	15
2025.01.02	13:05:00	2643.14	2644.29	2643.12	2644.13	583	0	22
2025.01.02	13:10:00	2644.15	2644.57	2643.72	2644.17	498	0	15
2025.01.02	13:15:00	2644.17	2644.39	2643.01	2643.29	560	0	15
2025.01.02	13:20:00	2643.29	2643.74	2641.92	2642.33	491	0	15
2025.01.02	13:25:00	2642.29	2642.29	2640.62	2641.75	579	0	15
2025.01.02	13:30:00	2641.75	2642.08	2640.26	2640.80	435	0	20
2025.01.02	13:35:00	2640.80	2641.78	2640.38	2641.73	471	0	15
2025.01.02	13:40:00	2641.87	2642.71	2640.95	2642.14	485	0	15
2025.01.02	13:45:00	2642.14	2642.59	2641.12	2642.08	458	0	19
2025.01.02	13:50:00	2642.17	2642.20	2641.28	2641.88	557	0	15
2025.01.02	13:55:00	2641.94	2642.34	2641.72	2642.04	713	0	20
2025.01.02	14:00:00	2641.99	2642.93	2641.12	2641.25	879	0	15
2025.01.02	14:05:00	2641.30	2641.48	2640.41	2640.65	516	0	15
2025.01.02	14:10:00	2640.65	2641.56	2640.31	2641.07	463	0	15
2025.01.02	14:15:00	2641.07	2641.73	2640.50	2641.35	396	0	15
2025.01.02	14:20:00	2641.35	2642.10	2641.01	2642.08	662	0	15
2025.01.02	14:25:00	2642.08	2643.23	2641.61	2642.78	794	0	15
2025.01.02	14:30:00	2642.78	2645.21	2642.21	2643.96	1184	0	15
2025.01.02	14:35:00	2643.96	2645.15	2643.41	2644.38	587	0	15
2025.01.02	14:40:00	2644.39	2644.63	2643.20	2644.30	607	0	15
2025.01.02	14:45:00	2644.44	2646.49	2644.14	2645.69	1131	0	15
2025.01.02	14:50:00	2645.71	2645.71	2644.29	2645.19	937	0	15
2025.01.02	14:55:00	2645.21	2645.30	2642.82	2643.35	1331	0	19
2025.01.02	15:00:00	2643.33	2643.33	2640.76	2641.84	1956	0	24
2025.01.02	15:05:00	2641.80	2643.30	2641.44	2641.88	1428	0	15
2025.01.02	15:10:00	2641.87	2642.48	2638.38	2638.53	1722	0	15
2025.01.02	15:15:00	2638.55	2639.33	2636.63	2637.66	1211	0	15
2025.01.02	15:20:00	2637.68	2639.35	2636.10	2637.66	1356	0	15
2025.01.02	15:25:00	2637.65	2641.03	2636.82	2640.91	977	0	15
2025.01.02	15:30:00	2640.83	2640.94	2636.91	2640.27	1650	0	15
2025.01.02	15:35:00	2640.27	2640.99	2639.06	2639.10	1335	0	15
2025.01.02	15:40:00	2639.11	2640.18	2638.61	2639.24	1377	0	15
2025.01.02	15:45:00	2639.24	2642.97	2638.23	2642.61	1931	0	15
2025.01.02	15:50:00	2642.58	2645.51	2642.55	2645.29	1231	0	15
2025.01.02	15:55:00	2645.30	2647.27	2642.93	2643.03	1230	0	15
2025.01.02	16:00:00	2642.92	2644.88	2640.33	2641.63	2018	0	15
